,OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
1361,2022-08-24 14:15:00,21256.94000000,21291.18000000,21252.00000000,21265.06000000,1309.46589000,2022-08-24 14:29:59.999,27860276.25676210,46057,643.87065000,13699072.08221000,0
1362,2022-08-24 14:30:00,21265.06000000,21313.06000000,21238.00000000,21298.11000000,1139.04489000,2022-08-24 14:44:59.999,24224449.67928680,43034,592.52761000,12601728.68393060,0
1363,2022-08-24 14:45:00,21297.03000000,21362.77000000,21275.99000000,21328.56000000,1494.75288000,2022-08-24 14:59:59.999,31863427.89354030,54317,726.72457000,15492211.43941170,0
1364,2022-08-24 15:00:00,21329.47000000,21355.00000000,21311.49000000,21336.00000000,1497.32144000,2022-08-24 15:14:59.999,31949029.72876520,49570,780.52706000,16655082.07382770,0
1365,2022-08-24 15:15:00,21337.01000000,21441.22000000,21328.65000000,21438.72000000,2576.42537000,2022-08-24 15:29:59.999,55104697.12034230,70378,1364.73750000,29191914.84345280,0
1366,2022-08-24 15:30:00,21439.89000000,21504.97000000,21406.44000000,21468.64000000,2511.93400000,2022-08-24 15:44:59.999,53916262.13870210,78982,1274.37867000,27353951.36201310,0
1367,2022-08-24 15:45:00,21468.05000000,21494.90000000,21401.21000000,21421.18000000,1848.43283000,2022-08-24 15:59:59.999,39635488.00052000,57247,870.32704000,18664667.62603300,0
1368,2022-08-24 16:00:00,21421.18000000,21469.86000000,21400.01000000,21400.54000000,1625.58183000,2022-08-24 16:14:59.999,34844716.59653230,52914,804.16436000,17237779.15635020,0
1369,2022-08-24 16:15:00,21402.45000000,21414.79000000,21318.09000000,21342.21000000,2212.55939000,2022-08-24 16:29:59.999,47264257.54632160,66580,1033.99970000,22087023.60883860,0
1370,2022-08-24 16:30:00,21343.16000000,21369.94000000,21331.22000000,21346.98000000,1274.80971000,2022-08-24 16:44:59.999,27214610.62551670,45926,614.66625000,13121978.11370880,0
1371,2022-08-24 16:45:00,21348.17000000,21424.09000000,21346.27000000,21404.55000000,1633.30193000,2022-08-24 16:59:59.999,34930758.52193840,56094,852.87512000,18240622.97795810,0
1372,2022-08-24 17:00:00,21404.55000000,21452.00000000,21377.16000000,21397.97000000,2598.41068000,2022-08-24 17:14:59.999,55641647.75793590,72118,1175.20258000,25169367.67350490,0
1373,2022-08-24 17:15:00,21397.97000000,21399.29000000,21331.34000000,21347.23000000,1996.64013000,2022-08-24 17:29:59.999,42663527.36092600,65490,952.36701000,20350909.82462810,0
1374,2022-08-24 17:30:00,21349.06000000,21353.28000000,21243.29000000,21288.27000000,3206.32051000,2022-08-24 17:44:59.999,68248763.02072530,97190,1519.67644000,32347436.69454030,0
1375,2022-08-24 17:45:00,21288.27000000,21333.84000000,21268.51000000,21317.85000000,1772.39780000,2022-08-24 17:59:59.999,37758174.79314130,56409,899.77048000,19169471.47418330,0
1376,2022-08-24 18:00:00,21319.27000000,21359.19000000,21300.00000000,21355.13000000,1469.51037000,2022-08-24 18:14:59.999,31347750.88517540,53580,747.89816000,15954212.99707070,0
1377,2022-08-24 18:15:00,21355.13000000,21405.00000000,21308.24000000,21382.87000000,1945.36063000,2022-08-24 18:29:59.999,41562090.62991480,61076,1035.26154000,22119535.93451000,0
1378,2022-08-24 18:30:00,21382.87000000,21440.07000000,21364.06000000,21380.17000000,2217.85167000,2022-08-24 18:44:59.999,47468209.75732620,62656,1115.42675000,23874510.17169560,0
1379,2022-08-24 18:45:00,21379.01000000,21404.85000000,21331.85000000,21341.40000000,1553.20477000,2022-08-24 18:59:59.999,33204792.24653360,48541,781.48835000,16707704.61734780,0
1380,2022-08-24 19:00:00,21341.40000000,21378.16000000,21326.32000000,21364.96000000,1325.95627000,2022-08-24 19:14:59.999,28318880.67541680,46296,630.67250000,13469427.30968840,0
